Word	Type	Frequency
在一起	C-VH	7
及	F-Caa	4
老師	C-Na	3
但	F-Cbb	13
來	F-D	15
不用	F-D	1
這樣	C-VH	15
請假	C-VA	2
為止	X-Ng	3
簽完	X-VC	3
筆錄	C-Na	5
後	X-Ng	13
離席	C-VA	2
黃意惇	C-Nb	1
大學路	C-Nc	7
151號	X	6
中華民國	C-Nc	29
2014年	X	2
02月	X	1
17日	X	1
生日	C-Na	1
資料	C-Na	2
桃園縣	C-Nc	1
桃園市	C-Nc	1
中山路	C-Nc	1
一段	C-Nc	2
52號	X	1
申請	X-VF	6
救助	X-VC	1
先生	C-Na	24
102年	X	4
09月	X	1
15日	X	2
桃園	C-Nc	3
中正	C-Nb	1
國際	C-Nc	3
機場	C-Nc	5
停車場	C-Nc	3
機車	C-Na	3
車牌	C-Na	2
頂	X-Nf	6
男用	X-A	1
帽子	C-Na	7
之後	X-Ng	17
經	F-P	7
受害	C-VH	2
警方	C-Na	5
調閱	X-VC	4
監視器	C-Na	3
紀錄	C-Na	3
身分	C-Na	4
確認	X-VE	5
該	X-Nes	9
所為	C-Na	1
由於	F-Cbb	2
又	F-D	4
涉嫌犯	X-VK	1
竊盜罪	C-Na	2
9月	X	1
所以	F-Cbb	51
航廈	C-Na	1
接	X-VC	1
件	X-Nf	7
然後	F-D	5
第五	X-Neu	1
別人	X-Nh	2
不可以	F-D	1
隨便	C-VH	1
拿走	X-VC	2
再	F-D	17
那時	X-Nd	1
周	C-Nb	1
遭	X-VJ	1
已經	F-D	15
提告	X-VE	2
意願	C-Na	2
和解	C-VA	9
沒關係	C-VH	1
進行	X-VC	36
先	F-D	13
訂	X-VC	5
2月	X	1
早上	X-Nd	3
9點鐘	X	1
調解	X-VC	2
一切	X-Neqa	5
順利	C-VH	1
以	F-P	10
金錢	C-Na	1
賠償	C-VD	1
方式	C-Na	11
結束	C-VHC	16
案子	C-Na	2
通知	X-VC	6
不能	F-D	1
配合	X-VC	1
準時	C-VH	1
本	X-Nes	10
棟	X-Nf	3
四樓	C-Nc	1
調解室	C-Nc	1
家事庭	C-Nc	1
親	X-VJ	2
字	C-Na	2
子女	C-Na	8
撫養權	C-Na	12
準備	X-VC	26
黃晶鈺	C-Nb	2
聯絡	X-VC	15
宣讀	X-VC	5
貴	X-Nes	13
院	C-Nc	9
4月	X	2
28日	X	1
居留證	C-Na	8
選任	X-VF	7
相對人	C-Na	3
史彩雲	C-Nb	2
士林區	C-Nc	1
忠誠路	C-Nc	1
3段	X	1
414號	X	2
委託	X-VF	5
律師	C-Na	3
立場	C-Na	1
你們	X-Nh	24
各自	X-Nh	2
認為	X-VE	5
自己	X-Nh	8
比較	X-Dfa	13
適任	X-VJ	2
撫養	X-VC	6
孩子	C-Na	13
闡述	X-VE	1
此外	F-Cbb	1
正在	F-D	2
打	X-VC	3
離婚	C-VA	18
盡量	F-D	1
不要	F-D	3
言語	C-Na	1
攻擊	X-VC	1
告訴人	C-Na	37
爭取	X-VC	4
目前	X-Nd	8
台灣	C-Nc	27
全職	C-VH	1
工作	C-VA	10
本人	X-Nh	2
太太	C-Na	6
雖然	F-Cbb	3
官司	C-Na	2
同住	X-VCL	2
而且	F-Cbb	4
懷疑	X-VK	12
男子	C-Na	1
同居	C-VA	1
交給	C-VD	2
照顧	X-VC	5
這樣子	C-VH	10
另外	F-Cbb	4
對於	F-P	6
個人	X-Nh	3
經濟	C-Na	3
能力	C-Na	7
能	F-D	6
打算	X-VF	2
女兒	C-Na	15
好幾	X-Neu	4
份	X-Nf	3
兼職	C-VA	2
它們	X-Nh	1
本身	X-Nh	1
性質	C-Na	1
保守	C-VH	1
估計	X-VE	1
每	X-Nes	4
月	C-Na	12
多少	X-Neqa	1
固定	C-VHC	2
收入	C-Na	4
想要	X-VE	10
關於	F-P	5
得到	X-VJ	2
帶回	X-VC	2
加拿大	C-Nc	2
回來	C-VA	1
即使	F-Cbb	1
拿到	X-VC	4
還是	F-D	10
保有	X-VJ	1
探視權	C-Na	1
小孩子	C-Na	1
國家	C-Na	1
變成	X-VG	1
變相	C-Na	1
